FIPS,bronze.rate,silver.rate,gold.rate,Column1,bronze percent difference,Column3,Column4,Column5,Class,,,26,,,,,,,,,
31015,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.100246736,3,,,
31017,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.283646221,2,,,
31027,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.13386984,1,,,
31029,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.044728377,54,,,
31031,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.080978297,1,,,
31033,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.042189495,7,,,
31035,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.051069335,1,,,
31043,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.08143255,1,,,
31045,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.129413514,3,,,
31049,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.057230014,3,,,
31051,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.056196571,1,,,
31057,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.253201258,1,,,
31061,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.247348816,1,,,
31063,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.108019619,1,,,
31065,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.04180214,6,,,
31067,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.196234654,3,,,
31069,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.064520781,1,,,
31071,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.231156412,1,,,
31073,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.12541511,2,,,
31075,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.277265266,1,,,
31083,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.105570618,1,,,
31085,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.070769499,1,,,
31087,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.152993487,1,,,
31089,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.053892729,2,,,
31091,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.224593682,1,,,
31095,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.221803141,1,,,
31101,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.218184271,2,,,
31103,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.068023125,2,,,
31105,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.251186762,4,,,
31107,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.107028809,6,,,
31111,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.189508887,1,,,
31113,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.215132279,3,,,
31115,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.210729222,1,,,
31117,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.146223431,20,,,
31119,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.143628182,1,,,
31121,454.8916667,591.2844444,651.26125,2.468074524,40%,49.713%,44.300%,44.807%,k,,,,,,,0.4,0.226804934,1,,,
